,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Final Region
969,I Pandey ,2019,4,4,0,33,22,8,50,66,0,0,0,5,0,NEPAL
970,RJMGM Rupasinghe ,2009,2,2,0,33,18,16,39,84,0,0,0,2,0,SL
971,Simandeep Singh ,2019,7,7,2,33,14,6,32,103,0,0,0,2,0,HKG
972,WPUJC Vaas ,2006,6,2,1,33,21,33,41,80,0,0,0,1,0,SL
976,WD Balaji Rao ,2008,4,4,1,32,22,10,30,106,0,0,1,1,2,CAN
977,SE Findlay ,2008,2,2,0,32,19,16,31,103,0,0,0,4,0,WI
978,TG Gordon ,2012,3,3,0,32,23,10,37,86,0,0,0,3,0,CAN
980,Khizer Ahmed ,2019,5,4,2,32,18,16,47,68,0,0,0,1,0,NOR
981,GA Lamb ,2010,5,4,2,32,14,16,54,59,0,0,1,1,0,ZIM
982,GH O'Brien ,2008,11,6,2,32,7,8,38,84,0,0,1,1,2,BMUDA
983,SNJ O'Keefe ,2010,7,5,0,32,22,6,26,123,0,0,0,4,1,AUS
984,Shiraz Khan ,2019,6,5,1,32,16,8,27,118,0,0,1,2,1,KUW
985,KRP Silva ,2019,2,2,0,32,25,16,12,266,0,0,0,2,3,USA
986,J Theron ,2010,9,3,3,32,31,0,21,152,0,0,0,3,1,SA
987,JC Tredwell ,2012,17,6,3,32,22,10,20,160,0,0,1,4,1,ENG
988,TR Birt ,2010,4,3,0,31,17,10,33,93,0,0,0,3,1,AUS
